epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,542.895,0.88224,0.90595,1.26082,0.74232,0.48423,0.61433,0.38312,1.37567,1.56674,1.72902,0.000183572,0.000183572,0.000183572
65,550.79,0.83198,0.88084,1.21383,0.75623,0.49091,0.61122,0.39316,1.35483,1.51197,1.69452,0.000173264,0.000173264,0.000173264
66,558.677,0.91655,1.00621,1.2913,0.74042,0.49127,0.60957,0.39848,1.34153,1.48324,1.66462,0.000162956,0.000162956,0.000162956
67,566.683,0.87257,1.00117,1.28205,0.73729,0.49127,0.60325,0.39331,1.31211,1.44122,1.64272,0.000152647,0.000152647,0.000152647
68,574.666,0.83479,0.88495,1.24219,0.73926,0.49127,0.60823,0.39372,1.27687,1.41913,1.60557,0.000142339,0.000142339,0.000142339
69,582.6,0.85455,0.93972,1.2385,0.74921,0.51217,0.60702,0.39297,1.26219,1.42564,1.5953,0.000132031,0.000132031,0.000132031
70,590.496,0.76449,0.82962,1.19628,0.75967,0.51773,0.61707,0.42001,1.25772,1.44815,1.60145,0.000121722,0.000121722,0.000121722
71,601.448,0.95493,0.98003,1.3163,0.61539,0.68571,0.60615,0.40881,1.23864,1.45597,1.58174,0.000111414,0.000111414,0.000111414
72,609.303,0.98107,0.95091,1.29361,0.60883,0.68571,0.58733,0.3877,1.27007,1.50859,1.60351,0.000101105,0.000101105,0.000101105
73,617.144,0.89926,0.8749,1.2944,0.61528,0.68571,0.59056,0.39286,1.28531,1.53991,1.61063,9.0797e-05,9.0797e-05,9.0797e-05
74,625.104,0.90191,0.8704,1.24405,0.61778,0.63413,0.59103,0.39727,1.28733,1.57144,1.6073,8.04886e-05,8.04886e-05,8.04886e-05
75,633.02,0.82785,0.82174,1.22084,0.60035,0.65794,0.58893,0.3957,1.26262,1.54827,1.58218,7.01802e-05,7.01802e-05,7.01802e-05
76,640.944,0.86085,0.89762,1.23722,0.58521,0.66188,0.60407,0.40078,1.22484,1.51327,1.55479,5.98719e-05,5.98719e-05,5.98719e-05
77,649.076,0.82551,0.81446,1.21882,0.59088,0.68571,0.60437,0.40305,1.20908,1.52136,1.54691,4.95635e-05,4.95635e-05,4.95635e-05
78,657.214,0.8416,0.80478,1.23337,0.57238,0.65794,0.60274,0.40265,1.20073,1.49547,1.53996,3.92551e-05,3.92551e-05,3.92551e-05
79,665.467,0.87637,0.88858,1.23237,0.5478,0.66079,0.60018,0.40251,1.19897,1.48217,1.53996,2.89468e-05,2.89468e-05,2.89468e-05
80,673.652,0.81696,0.85075,1.21993,0.52762,0.65794,0.59692,0.40516,1.21077,1.51594,1.56043,1.86384e-05,1.86384e-05,1.86384e-05
